date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:31:39	465/465	---M-Z	200	added ('OK')	text/plain	date:Fri,%2005%20Jun%202020%2015:52:39%20GMT	https://krazydad.com/robots.txt		(from )
14:31:39	11881/11881	---M-Z	200	added ('OK')	text/html	date:Wed,%2030%20Sep%202020%2009:01:38%20GMT	https://krazydad.com/tablet/bridges/	F:/Connect%20the%20bridges/krazydad.com/tablet/bridges/index.html	(from )
14:31:40	99967/99967	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202014%2019:57:43%20GMT	https://krazydad.com/tablet/css/bootstrap.min.css	F:/Connect%20the%20bridges/krazydad.com/tablet/css/bootstrap.min.css	(from https://krazydad.com/tablet/bridges/)
14:31:41	1590/1590	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202014%2019:57:43%20GMT	https://krazydad.com/tablet/css/bootstrap-toggle.min.css	F:/Connect%20the%20bridges/krazydad.com/tablet/css/bootstrap-toggle.min.css	(from https://krazydad.com/tablet/bridges/)
14:31:41	899/899	---M-Z	200	added ('OK')	text/css	date:Wed,%2024%20Dec%202014%2019:57:43%20GMT	https://krazydad.com/tablet/css/jquery.bootstrap-touchspin.min.css	F:/Connect%20the%20bridges/krazydad.com/tablet/css/jquery.bootstrap-touchspin.min.css	(from https://krazydad.com/tablet/bridges/)
14:31:42	3563/3563	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Jun%202016%2023:40:11%20GMT	https://krazydad.com/tablet/css/common.css	F:/Connect%20the%20bridges/krazydad.com/tablet/css/common.css	(from https://krazydad.com/tablet/bridges/)
14:31:42	85578/85578	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	F:/Connect%20the%20bridges/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:43	253668/253668	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	F:/Connect%20the%20bridges/ajax.googleapis.com/ajax/libs/jqueryui/1.12.1/jquery-ui.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:43	7001/7001	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/jquery.enhanced.cookie.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/jquery.enhanced.cookie.js	(from https://krazydad.com/tablet/bridges/)
14:31:44	46489/46489	---MC-	200	added ('OK')	text/javascript	date:Wed,%2009%20Sep%202020%2001:50:37%20GMT	https://www.google-analytics.com/analytics.js	F:/Connect%20the%20bridges/www.google-analytics.com/analytics.js	(from https://krazydad.com/tablet/bridges/)
14:31:44	15547/15547	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jun%202020%2020:32:25%20GMT	https://krazydad.com/tablet/img/masks_logo.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/masks_logo.png	(from https://krazydad.com/tablet/bridges/)
14:31:45	3208/3208	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Apr%202016%2018:32:47%20GMT	https://krazydad.com/tablet/img/ajax-loader.gif	F:/Connect%20the%20bridges/krazydad.com/tablet/img/ajax-loader.gif	(from https://krazydad.com/tablet/bridges/)
14:31:45	301/301	---M--	200	added ('OK')	image/png	date:Sun,%2026%20Apr%202020%2023:18:41%20GMT	https://krazydad.com/tablet/img/question_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/question_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:46	445/445	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:48%20GMT	https://krazydad.com/tablet/img/left_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/left_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:46	434/434	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:49%20GMT	https://krazydad.com/tablet/img/right_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/right_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:47	566/566	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Mar%202017%2023:54:22%20GMT	https://krazydad.com/tablet/img/book_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/book_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:47	533/533	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:33:51%20GMT	https://krazydad.com/tablet/img/undo_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/undo_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:48	534/534	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:33:55%20GMT	https://krazydad.com/tablet/img/redo_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/redo_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:48	648/648	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Apr%202016%2018:32:49%20GMT	https://krazydad.com/tablet/img/settings_32.png	F:/Connect%20the%20bridges/krazydad.com/tablet/img/settings_32.png	(from https://krazydad.com/tablet/bridges/)
14:31:49	29115/29115	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/bootstrap.min.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/bootstrap.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:51	3836/3836	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/bootstrap-toggle.min.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/bootstrap-toggle.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:51	9172/9172	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2003%20May%202017%2022:42:10%20GMT	https://krazydad.com/tablet/js/jquery.bootstrap-touchspin.min.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/jquery.bootstrap-touchspin.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:52	474/474	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2021%20Jan%202018%2022:12:32%20GMT	https://krazydad.com/tablet/js/puzzOverrideDefaults.min.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/puzzOverrideDefaults.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:53	23116/23116	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2031%20Jul%202020%2017:29:09%20GMT	https://krazydad.com/tablet/js/kdbridgelib.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/kdbridgelib.js	(from https://krazydad.com/tablet/bridges/)
14:31:53	10170/10170	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2026%20Sep%202020%2018:19:56%20GMT	https://krazydad.com/tablet/js/puzUtils.min.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/puzUtils.min.js	(from https://krazydad.com/tablet/bridges/)
14:31:53	2083/2083	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2005%20Jun%202020%2020:28:02%20GMT	https://krazydad.com/tablet/js/plainUtils.min.js	F:/Connect%20the%20bridges/krazydad.com/tablet/js/plainUtils.min.js	(from https://krazydad.com/tablet/bridges/)
